fuel_id,vehicle_id,date,liters,cost_per_liter,total_cost
1,124,2025-09-10,88.8,9961.73,622620.28
2,104,2024-05-30,67.05,9269.79,1361049.15
3,100,2024-12-26,183.81,10662.31,323153.09
4,65,2024-03-15,128.33,9358.34,1563227.8
5,159,2024-06-24,69.4,10228.88,666065.16
6,19,2024-07-10,191.55,11347.2,1712100.77
7,51,2024-11-29,120.26,11573.92,809010.43
8,95,2023-11-17,80.59,9931.09,1504801.39
9,59,2025-05-13,102.29,8177.73,748392.64
10,97,2024-11-22,85.98,10553.09,1410690.32
11,90,2025-05-05,26.92,10531.27,1528879.28
12,186,2025-04-03,43.14,10966.04,1780539.26
13,83,2025-08-27,143.47,11778.4,1565779.28
14,181,2023-12-23,188.87,11992.97,1821157.02
15,101,2025-07-15,156.4,8648.43,1593605.55
16,35,2024-04-01,67.82,8513.65,928246.64
17,104,2024-05-30,54.86,11412.33,1034343.89
18,167,2025-05-19,38.78,8229.56,882523.21
19,27,2024-08-06,115.2,9712.25,1857725.98
20,88,2024-07-23,34.04,10641.31,240757.93
21,22,2025-03-03,156.11,10680.5,941253.58
22,19,2025-10-08,64.06,10477.97,1186970.29
23,197,2023-12-04,196.32,9253.08,726791.9
24,48,2024-07-14,107.13,11931.46,1800145.43
25,94,2023-11-28,187.56,8356.52,537323.88
26,96,2024-06-10,68.4,11150.04,647184.2
27,188,2024-11-09,39.06,9486.91,1326027.77
28,159,2024-06-15,162.94,9816.96,955580.64
29,96,2024-07-11,137.72,8986.1,1028170.98
30,19,2024-05-26,52.3,11999.81,971353.64
31,151,2025-06-15,142,11954.18,649358.94
32,197,2025-08-22,189.49,8634.21,662362.63
33,162,2025-01-11,55.51,10055.22,752767.91
34,159,2023-11-13,175.11,8948.42,262373.14
35,66,2025-07-25,84.17,9047.59,1862805.35
36,176,2025-10-22,195.85,11779.52,548795.7
37,41,2024-05-30,47.15,11739.64,1454162.83
38,163,2024-09-08,169.97,9717.29,1498689.6
39,154,2024-02-19,23.5,8535.2,304662.64
40,31,2023-12-23,97.99,10923.37,1336867.77
41,157,2023-12-27,82.2,11466.41,1550915.16
42,195,2025-01-31,69.15,8453.1,360811.93
43,63,2025-08-28,169.72,10053.41,304443.86
44,70,2025-10-24,156.49,9003.05,1498373.19
45,111,2024-01-26,168.59,11409.5,1897820.42
46,41,2025-05-10,99.62,8432.33,1364641.44
47,199,2025-08-29,155.52,11922.39,751446.97
48,161,2025-08-27,160.88,9586.5,1298563.97
49,116,2025-06-02,25.38,9254.99,935670.12
50,50,2025-02-02,61.06,11831.52,1140861.05
51,121,2024-09-28,191.22,10145.52,1330454.8
52,7,2025-10-27,69.9,10762.07,709042.68
53,139,2024-01-11,121.58,10585.55,247030.53
54,191,2024-07-09,63.77,10379.26,1089549.92
55,90,2025-04-21,74.28,11951.77,1060278.6
56,41,2024-01-22,156.73,9404.98,418914.34
57,2,2025-03-12,89.19,11270.41,1539645.64
58,150,2024-04-21,121.23,10887.35,599886.82
59,93,2025-01-12,105.57,8556.14,457853.05
60,128,2025-05-27,136.95,11559.29,1522543.12
61,25,2024-10-28,117.02,10400.77,1697159.21
62,135,2024-07-02,34.28,8243.03,368277.84
63,126,2025-11-07,55.27,8579.75,1889903.22
64,4,2024-05-18,75.78,11762.94,1445861.17
65,89,2024-06-12,153.3,9302.61,896367.05
66,45,2024-12-13,84.1,10465.9,1171332.8
67,126,2024-05-25,107.91,10531.47,1103217.28
68,164,2024-02-03,102,9560.17,983788.21
69,70,2024-01-10,59.32,8971.17,1989010.74
70,54,2024-01-21,71.08,10322.8,881602.33
71,58,2024-11-15,118.77,11758.05,396816.37
72,19,2024-06-22,60.87,9210.86,1886080.47
73,120,2024-02-15,101.03,9778.81,575268.26
74,193,2024-12-29,23.9,11196.98,1585202.62
75,164,2024-02-16,166.32,8616.47,255326.61
76,101,2025-08-31,60.28,8198.02,447414.01
77,75,2024-08-22,50.33,11110.36,1206147.54
78,160,2024-09-21,48.8,11533.02,1553390.76
79,186,2025-10-03,131.9,8784.14,1887742.04
80,64,2025-03-18,88.94,8281.02,328465.46
81,49,2025-07-02,42.43,10946.15,1255728.91
82,113,2025-02-18,49.57,10971.85,576974.04
83,91,2024-06-08,63.42,9634.26,1473570.01
84,28,2024-04-06,98.76,11215.37,1361915.15
85,8,2025-10-17,31.17,8448.89,910671.23
86,180,2024-06-03,33.4,9730.38,857369.57
87,115,2025-01-18,130.98,9100.61,901549.06
88,106,2025-01-20,186.1,11942.94,1887208.4
89,167,2024-09-02,196.71,11546.63,875162.76
90,148,2025-04-13,114.47,9163.97,1616253.44
91,40,2025-03-11,103.7,8512,1835839.9
92,173,2025-10-31,142.01,11984.76,1085613.88
93,6,2024-09-07,106.16,8702.96,507266.99
94,129,2025-03-15,105.32,11806.83,1802247.39
95,66,2025-08-13,144.72,8798.36,494435.81
96,117,2024-11-03,183.65,9968.69,534795.03
97,6,2025-09-06,162.54,9174.53,419388.18
98,53,2025-05-31,109.9,11081.72,1253321.95
99,113,2024-07-13,144.87,8974.19,385717.07
100,73,2024-11-03,44.03,10154.41,1278311.92
101,180,2024-05-21,89.88,8687.19,1722689.17
102,29,2024-11-19,63.99,10246.97,1019164.71
103,174,2024-05-30,85.5,8267.85,912723.37
104,191,2025-10-09,135.83,9159.34,1993435.71
105,77,2024-12-20,162.88,11542.36,1531975.12
106,177,2025-01-12,135.4,9340.15,1669778.72
107,77,2024-11-15,198.83,11453.48,1192517.24
108,137,2024-01-26,121.77,11173.61,1320986.86
109,188,2024-06-14,65.99,9234.29,519694.99
110,72,2024-08-07,148.32,10241.6,1996994.39
111,128,2025-03-30,39.58,10427.89,1330067.16
112,41,2024-11-15,75.08,9659.86,1279959.05
113,160,2024-01-16,105.96,8234.64,438598.73
114,161,2025-02-05,127.99,11017.72,1076021.4
115,13,2024-12-03,128.53,9615.68,558117.36
116,9,2024-04-16,35.73,10752.29,542996.43
117,45,2025-03-02,77.37,11353.38,687043.76
118,183,2025-04-05,73.17,8625.48,378703.32
119,96,2024-03-30,131.92,9660.09,413805.23
120,185,2025-10-18,105.95,10524.66,1481238.62
121,40,2023-11-16,100.84,10526.42,375608.53
122,94,2025-01-07,103.67,11543.72,1168885.79
123,159,2024-11-21,39.6,9594.79,566605.91
124,177,2025-02-28,109.79,9174.76,257129.05
125,123,2024-02-17,35.3,8757.73,581631.11
126,42,2025-05-23,54.09,9858.86,217182.39
127,79,2024-04-12,133.61,10396.33,814248.48
128,196,2025-06-28,131.33,10103.16,1404567.45
129,92,2023-12-08,96.85,9602.58,1674951.06
130,164,2025-05-28,174.89,9647.94,469686.46
131,144,2024-05-10,147.82,8056.88,934512.15
132,135,2025-02-23,129.19,11611.15,1240460.65
133,125,2024-07-15,91.53,8525.35,529719.6
134,48,2024-08-03,100.18,8328.53,1248708.25
135,55,2025-06-08,24.1,11497.09,792987.09
136,182,2024-05-24,181.06,11917,1097199.97
137,190,2024-03-23,68.3,8770.27,524359.59
138,64,2025-08-29,174.69,9718.61,1769251.22
139,191,2025-06-20,172.28,9527.07,1490703.47
140,94,2025-06-22,122.39,10496.07,1268934.82
141,37,2025-06-17,130.2,8467.48,908422.51
142,151,2024-09-03,66.92,10074.64,1150380.26
143,51,2024-04-26,48.56,11971.02,1198483.12
144,74,2024-06-28,196.99,9201.49,383738.66
145,15,2025-06-03,170.98,9864.48,676632.1
146,36,2023-12-14,142.23,8917.93,238711.92
147,162,2025-01-15,141.76,11682.64,1168952.99
148,82,2024-05-27,73.4,11122.33,1069847.77
149,44,2024-11-06,169.97,8316.27,1166665.45
150,183,2025-09-14,32.21,10662.85,1574193.2
151,161,2025-05-24,84.11,8502.23,1876136.35
152,86,2024-06-04,70.88,10818.43,464379.42
153,87,2024-12-23,81.9,10370.53,612782.11
154,126,2024-09-20,49.45,10104.6,1236409.14
155,73,2025-05-12,27.63,8472.39,1868839.75
156,23,2025-08-15,54,9807.55,956528.35
